1. Grama Niladhari Division,2. Gender,3. Age of the child (Years),4. Weight of the child (kg):,5. How would you rate your child’s Overall Academic performances? [.],6. Number of people who live in your household,7. What animal protein sources do you give your child the most?,8. Is seafood available frequently in your area?,9. Does your child eat freshwater fish?,"9. (A) If Yes, mention the most preferred freshwater fish type of the child.","9. (B) If no, what is the reason?","9. (C) If your child hesitates to eat freshwater fish, what are the methods you used to encourage/improve their consumption usually?",10. Why does your child prefer freshwater fish?,11. What is the reason for including freshwater fish in your child’s diet?,12. Has the amount of freshwater fish your family  consumed changed over the last 3 years?,"13. If changed, what is the reason?",14. Have you ever received any guidance or recommendation from a healthcare professional regarding freshwater fish consumption of your child?,15. Have you ever limited your child’s freshwater fish consumption due to any reason?,"16. If Yes, what is the reason?","17. “Freshwater fish is a healthy source of animal protein and provide
other important nutrients for children.”",18. How often does your child eat freshwater fish?,"19. When the child eats freshwater fish, what is the average amount per
day?",20. How many pieces the child eats per meal?,21.What is your child’s favorite way of preparing freshwater fish?,22.What type of freshwater fish usually purchase in your household and how much per month? [Tilapia],22.What type of freshwater fish usually purchase in your household and how much per month? [Korali],22.What type of freshwater fish usually purchase in your household and how much per month? [Hunga],22.What type of freshwater fish usually purchase in your household and how much per month? [Loolla],22.What type of freshwater fish usually purchase in your household and how much per month? [Pethiya],22.What type of freshwater fish usually purchase in your household and how much per month? [Aandha],22.What type of freshwater fish usually purchase in your household and how much per month? [Kawayya],22.What type of freshwater fish usually purchase in your household and how much per month? [Ankutta],22.What type of freshwater fish usually purchase in your household and how much per month? [Magura],22.What type of freshwater fish usually purchase in your household and how much per month? [Karadu issa],22.What type of freshwater fish usually purchase in your household and how much per month? [Carp Spp.],22.What type of freshwater fish usually purchase in your household and how much per month? [Other],"22. (b) If you consume fish other than the above-mentioned species, please mention it here.",23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Dried fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Smoked fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Other],"23. (b) If you consume fish product other than the above-mentioned processed product, please mention it here.",24. What are the barriers to increasing freshwater fish consumption?,25. Where do you usually get the fish from?,"26. Have you noticed any allergies symptoms of your child after eating
Freshwater fish?","27. If Yes, please mention the fish species/s","28. If Yes, which symptoms have you observed?
(You can select more than one option)"
pallankulama,female,7,14,Fair,not  mentioned,Dairy Products,No,Yes,Theppili ,,,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,One meal,2,Curry (With coconut milk),Less than 2 kg,,,,,,,,,,,Less than 2 kg,Theppili ,Less than 0.5 kg,,,,Expensive,Fish stall,No,,
pallankulama,male,9,21.1,Good,5,"Fish, Eggs",No,Yes,Kawayya,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Involving child in choosing or cooking the fish","Milder taste, Awareness of nutritional quality","Health benefits, Freshness, Readily available",No change,,No,No,,Strongly agree,3-4 times a week,Two meals,2,"Curry (With coconut milk), Fried fish",,,Less than 2 kg,2 - 4 kg,,,2 - 4 kg,,,,,,,,0.5 - 1 kg,,,Expensive,Directly from fishermen,No,,
rambewa,female,7,not mentioned,Fair,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,Dislike of the taste or texture,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Few times a month,Two meals,More than 3,Fried fish,,Less than 2 kg,,,,,,,,,,,,,1 - 1.5 kg,,,Less preference,Delivery vehicles,No,,
pallankulama,male,9,27,Good,5,Fish,No,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Daily,Two meals,More than 3,Curry (Chilled),More than 6 kg,,,,,,,,,,,,,,,,,,Directly from fishermen,No,,
thalgahawewa,female,5,16,Good,3,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Not mentioned ",No,Yes,Not mentioned,,"Serve with their favorite foods, Try different recipes with different flavors","As a food habit, Awareness of nutritional quality",Nutritional benefits,Decreased,Expensive ,Yes,No,,Agree,Twice a week,Three meals,2,Fried fish,,More than 6 kg,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Directly from fishermen,Yes,Hunga,Hives
diviya udabendawewa,male,4.5,13.3,Excellent,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,"Loolla,Tilapia ",,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,Yes,No,,Agree,Daily,Three meals,2,Fried fish,Less than 2 kg,,,Less than 2 kg,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
thalgahawewa,female,4,16.3,Excellent,4,Eggs,No,Yes,Theppili ,,Try different recipes with different flavors,Milder taste,Freshness,Increased,Preference of the child has increased ,No,No,,Strongly agree,Twice a week,Two meals,2,Curry (Chilled),,,,,,,,,,,,2 - 4 kg,Theppili ,No purchasing,No purchasing,,,Expensive,Delivery vehicles,No,,
pallankulama,female,9,25,Good,5,"Fish, Eggs",Yes,Yes,Not mentioned,,,Milder taste,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Strongly agree,Twice a week,Three meals,2,Curry (Chilled),More than 6 kg,,,Less than 2 kg,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
pallankulama,female,9,14.7,Excellent,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Hunga,,"Try different recipes with different flavors, Explaining the benefits of eating fish","Milder taste, Awareness of nutritional quality","Nutritional benefits, Health benefits, Taste, Freshness, Readily available",No change,,No,No,,Strongly agree,Once a week,Two meals,2,"Curry (With coconut milk), Fried fish",Less than 2 kg,,Less than 2 kg,Less than 2 kg,,,,,,,,Less than 2 kg,Lellu,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
medawachchiya,male,9,25,Good,6,Fish,No,Yes,Loolla ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Twice a week,Two meals,2,Fried fish,,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
medawachchiya,male,9,33,Good,5,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Loolla ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,2,Fried fish,,,,Less than 2 kg,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
rambewa,female,6,not mentioned,Fair,4,"Fish, Eggs",Yes,Yes,Tilapia ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Decreased,,Yes,No,,Agree,3-4 times a week,One meal,1,"Curry (Chilled), Fried fish",Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Directly from fishermen,No,,
pallankulama,female,6,14.8,Excellent,6,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Loolla ,,Involving child in choosing or cooking the fish,Milder taste,Health benefits,No change,,No,No,,Strongly agree,Twice a week,One meal,2,"Curry (With coconut milk), Fried fish",2 - 4 kg,,Less than 2 kg,2 - 4 kg,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
pallankulama,female,6,not mentioned,Very Good,5,Fish,No,Yes,Not mentioned,Presence of so many bones,Try different recipes with different flavors,Texture,Freshness,No change,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,,,,No purchasing,,,,,,,,No purchasing,Lellu,,No purchasing,,,Less fishing these days,Directly from fishermen,No,,
pallankulama,female,3,13.2,Very Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Tilapia ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Increased,,Yes,No,,Strongly agree,3-4 times a week,One meal,2,"Curry (Chilled), Curry (With coconut milk), Fried fish",Less than 2 kg,,Less than 2 kg,Less than 2 kg,,,Less than 2 kg,Less than 2 kg,,,,Less than 2 kg,Lellu,0.5 - 1 kg,,,,Expensive,Wholesale,No,,
pallankulama,female,4,14.2,Very Good,5,Fish,No,Yes,Not mentioned,,Try different recipes with different flavors,Texture,"Freshness, Readily available",No change,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,,,,,,,,,,,,,,,No purchasing,,,Less fishing these days,Directly from fishermen,No,,
pallankulama,female,5,14.8,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Not mentioned,,Serve with their favorite foods,Awareness of nutritional quality,Cheaper than other protein sources,No change,,No,No,,Agree,Few times a month,Two meals,2,Curry (With coconut milk),Less than 2 kg,,Less than 2 kg,Less than 2 kg,Less than 2 kg,,Less than 2 kg,Less than 2 kg,,,,Less than 2 kg,Lellu,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
pallankulama,female,5,13,Very Good,5,"Fish, Eggs",Yes,Yes,Not mentioned,,,Milder taste,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Strongly agree,Twice a week,Three meals,2,Curry (Chilled),More than 6 kg,,,2 - 4 kg,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
pallankulama,male,4,12.8,Excellent,6,"Fish, Eggs",Yes,Yes,Tilapia ,,Try different recipes with different flavors,As a food habit,Cheaper than other protein sources,Decreased,Due to consumption of eggs,Yes,No,,Agree,Once a week,Three meals,3,Fried fish,2 - 4 kg,,,,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
pallankulama,male,5,12.6,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish",No,Yes,Theppili ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Try different recipes with different flavors",As a food habit,"Nutritional benefits, Health benefits, Freshness, Readily available",No change,,No,No,,Strongly agree,Twice a week,Two meals,2,"Curry (With coconut milk), Fried fish",2 - 4 kg,,Less than 2 kg,2 - 4 kg,,,Less than 2 kg,,,,,,,,0.5 - 1 kg,,,Expensive,Directly from fishermen,No,,
pallankulama,male,3.5,11,Fair,6,"Fish, Eggs",Yes,Yes,Not mentioned,,,Milder taste,Nutritional benefits,Decreased,Economic Difficulties ,No,Yes,,Strongly agree,Once a week,Three meals,1,Fried fish,More than 6 kg,,,,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
diviya udabendawewa,female,4,14.9,Good,7,Fish,No,Yes,Theppili ,,Serve with their favorite foods,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,1,Curry (With coconut milk),Less than 2 kg,,Less than 2 kg,Less than 2 kg,Less than 2 kg,,Less than 2 kg,,,,,,,More than 2 kg,,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,male,4,14.5,Good,4,Eggs,No,Yes,Theppili ,,Serve with their favorite foods,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,1,Curry (Chilled),Less than 2 kg,Less than 2 kg,,Less than 2 kg,,,,Less than 2 kg,,,,,,1 - 1.5 kg,,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,male,4,11.8,Good,5,Fish,No,Yes,Tilapia ,,Serve with their favorite foods,Milder taste,Nutritional benefits,Decreased,Economic Difficulties ,No,No,,Agree,Twice a week,One meal,1,Curry (Chilled),2 - 4 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
thalgahawewa,female,4,15.5,Very Good,5,Eggs,No,Yes,Loolla ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Twice a week,One meal,1,Curry (With coconut milk),2 - 4 kg,,,4 - 6 kg,,,,,,,,,,,1.5 - 2 kg,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,male,5,18.2,Good,6,Fish,No,Yes,Tilapia ,,,As a food habit,As a habit,No change,,No,No,,Agree,3-4 times a week,One meal,2,Curry (Chilled),More than 6 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Fish yield is low,Directly from fishermen,No,,
diviya udabendawewa,male,5,14.8,Very Good,5,Fish,No,Yes,Theppili ,,Serve with their favorite foods,As a food habit,As a habit,No change,,No,No,,Agree,3-4 times a week,Two meals,1,Curry (With coconut milk),Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,Less than 2 kg,,,,,,More than 2 kg,,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,male,4,12.9,Excellent,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,Yes,Tilapia ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches), Try different recipes with different flavors, Explaining the benefits of eating fish",Milder taste,"Nutritional benefits, Health benefits, Freshness",Decreased,Expensive ,Yes,No,,Neither agree nor disagree,3-4 times a week,Two meals,1,Curry (With coconut milk),4 - 6 kg,,,,,,,,,,,,,,Less than 0.5 kg,,,Expensive,Directly from fishermen,No,,
thalgahawewa,female,5,14.4,Very Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Tilapia ,,Explaining the benefits of eating fish,Milder taste,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,3-4 times a week,One meal,3,Fried fish,Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,male,8,24,Fair,not  mentioned,"Fish, Eggs",No,Yes,Not mentioned,,,Awareness of nutritional quality,Cheaper than other protein sources,No change,,Yes,No,,Agree,3-4 times a week,One meal,1,Curry (With coconut milk),More than 6 kg,,,,,,,,,,,,,No purchasing,,,,Expensive,Directly from fishermen,No,,
thalgahawewa,male,5,16,Very Good,not  mentioned,Eggs,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Decreased,,No,No,,Neither agree nor disagree,Twice a week,Three meals,2,Fried fish,,,,,Less than 2 kg,,,,,,,,,No purchasing,,,,Less fishing these days,Not mentioned ,No,,
diviya udabendawewa,male,9,not mentioned,Fair,4,Eggs,Yes,No,Not mentioned,Dislike of the taste or texture,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diviya udabendawewa,female,9,22.9,Good,5,Fish,No,Yes,Not mentioned,,,Awareness of nutritional quality,Nutritional benefits,Decreased,Economic Difficulties ,No,Yes,Economic difficulties ,Agree,Every few months,One meal,1,Curry (With coconut milk),Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Delivery vehicles,Yes,,Itching
diviya udabendawewa,female,9,24,Very Good,5,Fish,Yes,Yes,"Loolla , Theppili ",,,Awareness of nutritional quality,Nutritional benefits,No change,,No,Yes,මුදල් අපහසුතා ,Neither agree nor disagree,3-4 times a week,One meal,1,Fried fish,Less than 2 kg,,Less than 2 kg,Less than 2 kg,,,,Less than 2 kg,,,,,,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,female,10,not mentioned,Good,6,Eggs,No,Yes,Tilapia ,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,One meal,2,Curry (Chilled),4 - 6 kg,,,,,,,,,,,2 - 4 kg,Lellu,0.5 - 1 kg,No purchasing,,,Expensive,Delivery vehicles,No,,
gonewa,male,6,20,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Loolla ,,Serve with their favorite foods,As a food habit,As a habit,No change,,No,No,,Agree,Twice a week,Two meals,2,"Curry (Chilled), Curry (With coconut milk), Fried fish",Less than 2 kg,,,Less than 2 kg,,,,,,,,Less than 2 kg,Lellu,1.5 - 2 kg,,,,Fewer places to purchase,Delivery vehicles,No,,
gonewa,female,9,43,Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Tilapia ,,Serve with their favorite foods,As a food habit,As a habit,No change,,No,No,,Agree,Twice a week,Three meals,2,"Curry (Chilled), Curry (With coconut milk), Fried fish",Less than 2 kg,,,Less than 2 kg,,,,,,,,Less than 2 kg,Lellu,1.5 - 2 kg,,,,Fewer places to purchase,Delivery vehicles,No,,
gonewa,female,6,17,Good,4,Eggs,Yes,Yes,Tilapia ,,,As a food habit,As a habit,No change,,No,No,,Agree,3-4 times a week,Two meals,2,Fried fish,More than 6 kg,,,,,,,,,,,,,,,,,,Delivery vehicles,No,,
gonewa,female,8,26,Fair,6,Fish,Yes,Yes,Tilapia ,,Explaining the benefits of eating fish,As a food habit,Taste,No change,,No,No,,Strongly agree,3-4 times a week,One meal,1,Fried fish,4 - 6 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,female,9,17,Excellent,5,Fish,Yes,Yes,Tilapia ,,Explaining the benefits of eating fish,As a food habit,Nutritional benefits,No change,,No,No,,Strongly agree,3-4 times a week,Two meals,2,Curry (With coconut milk),More than 6 kg,2 - 4 kg,,4 - 6 kg,,,2 - 4 kg,,,,,,,,0.5 - 1 kg,,,Expensive,Directly from fishermen,No,,
diviya udabendawewa,female,9,20,not mentioned,5,Fish,No,Yes,Tilapia ,,,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Once a week,Two meals,2,Fried fish,4 - 6 kg,,,,,,,,,,,,,No purchasing,,,,,Not mentioned ,No,,
gonewa,male,10,23,Good,4,"Fish, Eggs",Yes,Yes,Not mentioned,,,As a food habit,"Taste, Freshness, Readily available",Decreased,Economic Difficulties ,No,No,,Agree,Every few months,Two meals,2,"Curry (With coconut milk), Fried fish",Less than 2 kg,,,,,,,,,,,,,No purchasing,No purchasing,No purchasing,,Expensive,Fish stall,No,,
pallankulama,male,7,21,Good,5,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Tilapia ,,,As a food habit,Nutritional benefits,Decreased,Inflation ,No,No,,Agree,Few times a month,Two meals,2,Curry (With coconut milk),Less than 2 kg,Less than 2 kg,,2 - 4 kg,,,,,,,,Less than 2 kg,Lellu,0.5 - 1 kg,1 - 1.5 kg,,,Expensive,Delivery vehicles,No,,
gonewa,male,7,16,Good,5,Eggs,No,Yes,Theppili ,,,As a food habit,Nutritional benefits,No change,,No,No,,Agree,Once a week,One meal,1,Fried fish,Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
ginikatuwewa,male,6,15,Very Good,6,Fish,Yes,Yes,Not mentioned,,Try different recipes with different flavors,Awareness of nutritional quality,Readily available,No change,,No,No,,Agree,Twice a week,Two meals,1,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,male,9,23,Very Good,4,Fish,Yes,Yes,Theppili ,,Try different recipes with different flavors,Awareness of nutritional quality,Readily available,No change,,No,No,,Agree,Twice a week,Two meals,3,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
ginikatuwewa,female,10,35,Good,5,Fish,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,Decreased,,No,No,,Agree,Twice a week,Two meals,2,Curry (With coconut milk),Less than 2 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,male,8,21,Very Good,5,Fish,Yes,Yes,Not mentioned,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,1,Fried fish,Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,female,8,20,Very Good,not  mentioned,Fish,Yes,Yes,Not mentioned,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,male,6,16,Good,5,Fish,Yes,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,2,Fried fish,More than 6 kg,,,,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,male,6,not mentioned,Good,5,Fish,Yes,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,One meal,1,Fried fish,4 - 6 kg,,,,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,male,8,22,Very Good,3,Eggs,Yes,Yes,Tilapia ,,Serve with their favorite foods,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,Few times a month,One meal,,Curry (With coconut milk),,,,,,,,,,,,,,,,,,,Delivery vehicles,No,,
gonewa,female,7,14,Good,5,Fish,No,Yes,Tilapia ,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Once a week,One meal,1,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,male,8,20,Very Good,not  mentioned,Fish,Yes,Yes,Not mentioned,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,1,Fried fish,Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,male,6,15.3,Very Good,4,Fish,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,As a food habit,Nutritional benefits,Decreased,Expensive ,No,No,,Agree,Twice a week,Two meals,2,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,,,,,Expensive,Delivery vehicles,No,,
gonewa,male,7,20,Fair,5,Fish,Yes,Yes,Korali,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,Twice a week,Two meals,2,Curry (With coconut milk),,Less than 2 kg,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Wholesale,No,,
gonewa,male,9,33,Fair,4,Eggs,No,Yes,Not mentioned,,,Milder taste,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,One meal,1,Curry (With coconut milk),2 - 4 kg,,,,,,,,,,,,,1.5 - 2 kg,,,,Expensive,Fair,Yes,,Vomiting
gonewa,female,5,16,Good,5,"Fish, Eggs, Dairy Products",Yes,Yes,Tilapia ,,"Serve with their favorite foods, Try different recipes with different flavors, Explaining the benefits of eating fish","Milder taste, As a food habit, Awareness of nutritional quality","Nutritional benefits, Cheaper than other protein sources, Health benefits, Taste, Freshness, Readily available",Decreased,Expensive ,No,No,,Neither agree nor disagree,Once a week,Three meals,2,"Curry (With coconut milk), Fried fish",Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,male,10,19.5,Good,4,Fish,No,Yes,Not mentioned,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,Decreased,,No,No,,Agree,3-4 times a week,One meal,2,Curry (Chilled),Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Fair,No,,
gonewa,female,10,19,Good,4,Fish,Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,As a food habit,Nutritional benefits,Decreased,,No,No,,Agree,Twice a week,Two meals,2,Curry (With coconut milk),Less than 2 kg,,,,,,,,,,,,,1 - 1.5 kg,,,,Expensive,Delivery vehicles,No,,
thalgahawewa,male,8,16,Very Good,6,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",No,Yes,Theppili ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",As a food habit,Nutritional benefits,Increased,freshness,No,Yes,Due to chemicals in water,Agree,Twice a week,One meal,2,Curry (With coconut milk),4 - 6 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Directly from fishermen,No,,
gonewa,female,10,27,not mentioned,5,"Fish, Eggs",No,Yes,Tilapia ,,Try different recipes with different flavors,Milder taste,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,One meal,1,Fried fish,2 - 4 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,male,8,20,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish",Yes,Yes,Not mentioned,,Explaining the benefits of eating fish,Awareness of nutritional quality,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,Two meals,2,Curry (Chilled),,,,Less than 2 kg,Less than 2 kg,,Less than 2 kg,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
gonewa,female,10,27,Very Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Yes,Yes,Not mentioned,Other family members don’t like,"Serve with their favorite foods, Explaining the benefits of eating fish",Awareness of nutritional quality,Nutritional benefits,Decreased,Inflation ,Yes,No,,Strongly agree,Twice a week,One meal,2,"Curry (Chilled), Fried fish",2 - 4 kg,,,2 - 4 kg,,,,,,,,,,No purchasing,No purchasing,,,Expensive,Delivery vehicles,No,,
gonewa,female,6,14,Very Good,4,Fish,Yes,Yes,Loolla ,,Try different recipes with different flavors,As a food habit,Nutritional benefits,No change,,No,No,,Neither agree nor disagree,Few times a month,One meal,1,Fried fish,,,,Less than 2 kg,,,,,,,,,,,Less than 0.5 kg,,,Fish yield is low,Not mentioned ,No,,
gonewa,female,5,15,Good,4,Fish,No,Yes,Not mentioned,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Awareness of nutritional quality,Taste,No change,,No,No,,Neither agree nor disagree,Once a week,Two meals,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,,,,Expensive,Directly from fishermen,No,,
gonewa,male,10,25,Good,5,"Fish, Eggs",Yes,Yes,Tilapia ,,"Serve with their favorite foods, Try different recipes with different flavors, Explaining the benefits of eating fish",Milder taste,"Nutritional benefits, Cheaper than other protein sources, Health benefits, Taste, Freshness, Readily available",Decreased,Expensive ,No,No,,Neither agree nor disagree,Once a week,Three meals,2,"Curry (With coconut milk), Fried fish",Less than 2 kg,,,,,,,,,,,,,0.5 - 1 kg,,,,Expensive,Delivery vehicles,No,,
kandurugasdamana,male,9,21,Fair,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs",Yes,No,Not mentioned,Presence of so many bones,"Serve with their favorite foods, Involving child in choosing or cooking the fish, Try different recipes with different flavors, Explaining the benefits of eating fish",,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medagama,female,8,21.5,Good,4,Eggs,No,Yes,Not mentioned,Presence of so many bones,Serve with their favorite foods,As a food habit,Nutritional benefits,Decreased,,No,No,,Strongly agree,Once a week,Two meals,2,Curry (Chilled),,,,Less than 2 kg,,,Less than 2 kg,,,,,,,,0.5 - 1 kg,,,Expensive,Delivery vehicles,No,,
medagama,male,8,19,Good,4,Eggs,Yes,Yes,Not mentioned,,,As a food habit,Freshness,No change,,No,No,,Agree,Few times a month,Two meals,1,Curry (With coconut milk),Less than 2 kg,,,Less than 2 kg,,,,,,,,,,No purchasing,No purchasing,,,Expensive,Directly from fishermen,Yes,,
rambewa,male,8,23,Good,4,"Fish, Eggs",Yes,No,Not mentioned,Presence of so many bones,Serve with their favorite foods,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
